year,stock,capture,effort
1950,Actinopterygii,6700,15954888.79
1950,Gracilaria spp,5000,15954888.79
1950,Katsuwonus pelamis,3300,15954888.79
1950,Loxechinus albus,1600,15954888.79
1950,Merluccius gayi,33100,15954888.79
1950,Sarda chiliensis,34700,15954888.79
1950,Scomber japonicus,2300,15954888.79
1950,Strangomera bentincki,14300,15954888.79
1951,Actinopterygii,8200,19083887.09
1951,Gracilaria spp,5000,19083887.09
1951,Katsuwonus pelamis,4600,19083887.09
1951,Loxechinus albus,2300,19083887.09
1951,Merluccius gayi,42800,19083887.09
1951,Sarda chiliensis,55200,19083887.09
1951,Scomber japonicus,1100,19083887.09
1951,Strangomera bentincki,7600,19083887.09
1952,Actinopterygii,9200,22702787
1952,Gracilaria spp,5000,22702787
1952,Katsuwonus pelamis,7500,22702787
1952,Loxechinus albus,1700,22702787
1952,Merluccius gayi,64400,22702787
1952,Sarda chiliensis,55200,22702787
1952,Scomber japonicus,3300,22702787
1952,Strangomera bentincki,4400,22702787
1953,Actinopterygii,6900,26029634.93
1953,Gracilaria spp,5000,26029634.93
1953,Katsuwonus pelamis,8600,26029634.93
1953,Loxechinus albus,1400,26029634.93
1953,Merluccius gayi,59000,26029634.93
1953,Penaeus spp,300,26029634.93
1953,Sarda chiliensis,46400,26029634.93
1953,Scomber japonicus,1900,26029634.93
1953,Strangomera bentincki,5200,26029634.93
1954,Actinopterygii,7800,32853375.02
1954,Argopecten purpuratus,200,32853375.02
1954,Gracilaria spp,6000,32853375.02
1954,Katsuwonus pelamis,12800,32853375.02
1954,Loxechinus albus,2600,32853375.02
1954,Merluccius gayi,56100,32853375.02
1954,Penaeus spp,200,32853375.02
1954,Sarda chiliensis,57200,32853375.02
1954,Scomber japonicus,3500,32853375.02
1954,Strangomera bentincki,15500,32853375.02
1955,Actinopterygii,9400,35586361.94
1955,Argopecten purpuratus,0.001,35586361.94
1955,Gracilaria spp,6000,35586361.94
1955,Katsuwonus pelamis,13700,35586361.94
1955,Loxechinus albus,3700,35586361.94
1955,Merluccius gayi,94000,35586361.94
1955,Penaeus spp,200,35586361.94
1955,Sarda chiliensis,79800,35586361.94
1955,Scomber japonicus,1300,35586361.94
1955,Strangomera bentincki,22200,35586361.94
1956,Actinopterygii,14700,42128582.11
1956,Argopecten purpuratus,0.001,42128582.11
1956,Gracilaria spp,7000,42128582.11
1956,Katsuwonus pelamis,16400,42128582.11
1956,Loxechinus albus,3900,42128582.11
1956,Merluccius gayi,78200,42128582.11
1956,Penaeus spp,200,42128582.11
1956,Sarda chiliensis,88200,42128582.11
1956,Scomber japonicus,3700,42128582.11
1956,Strangomera bentincki,9100,42128582.11
1957,Actinopterygii,17700,51717646.9
1957,Argopecten purpuratus,0.001,51717646.9
1957,Gracilaria spp,7000,51717646.9
1957,Katsuwonus pelamis,20200,51717646.9
1957,Loxechinus albus,3600,51717646.9
1957,Merluccius gayi,81400,51717646.9
1957,Penaeus spp,400,51717646.9
1957,Sarda chiliensis,60600,51717646.9
1957,Scomber japonicus,8600,51717646.9
1957,Strangomera bentincki,16100,51717646.9
1958,Actinopterygii,21200,57415494.39
1958,Argopecten purpuratus,2700,57415494.39
1958,Gracilaria spp,7000,57415494.39
