variable,year,mean,sd,lower,upper
b_t,1994,849643.879068272,1228294.74853343,181161.617863156,2204430.79381651
b_t,1995,1096482.82128212,1443147.74948828,209132.450862562,2916061.32162774
b_t,1996,1321556.67243735,1634662.41688577,247572.262291802,3636528.56111249
b_t,1997,1336109.29995193,1683066.65704018,245357.484529099,3643170.81531149
b_t,1998,1389749.39618854,2018179.14573426,256667.071894291,3662485.50098159
b_t,1999,1291352.35598396,1859094.77981706,247443.898567065,3314926.04857779
b_t,2000,1426345.0516713,1806140.93250977,264567.84323622,3883058.18713288
b_t,2001,1723805.40640246,2309326.69209486,290045.163524098,4734073.27891774
b_t,2002,754650.379854853,978848.170475558,138085.573224426,2082240.30558615
b_t,2003,477477.657466169,612255.244846106,89863.2989956454,1334757.19340119
b_t,2004,481451.175198535,613747.95462657,88138.4522780273,1331381.15677509
b_t,2005,672070.719934899,831367.476531715,118455.027585485,1879663.21659392
b_t,2006,411106.526088485,524644.455134295,73014.5235807752,1084795.18785003
b_t,2007,496797.169413087,714104.344664217,92021.4251460592,1350897.61055159
b_t,2008,645214.103412627,915382.295581048,118729.717168062,1734376.42452492
b_t,2009,1127980.39524567,1622777.59456005,198340.806919158,3114003.48508169
b_t,2010,1263373.68106787,1550030.02025988,238649.021716544,3509375.33815609
b_t,2011,1506888.4433006,1877493.5662225,288992.106256321,4195554.04500709
b_t,2012,1367326.12042345,1739399.95791983,250594.912201941,3713162.81158018
b_t,2013,1054739.11262956,1314191.83778518,198116.734037836,2843180.2670016
b_t,2014,1497491.72934647,1903534.28454214,293200.80372312,4037175.80747292
b_t,2015,1482771.00692356,1984105.57532725,287060.614364006,4059376.74355226
b_t,2016,1365239.07661344,1849822.36220333,252630.391476809,3781621.27169638
b_t,2017,1322853.30816443,1809168.88612805,246092.646290861,3644124.35751799
b_t,2018,1411683.01014462,1943944.14219197,260368.89175854,3734105.70683215
b_t,2019,1694784.06249586,2114784.21609805,327629.148191973,4687389.08231832
b_t,2020,1612779.03829979,2533495.7780089,288491.868067717,4169605.88376356
b_t,2021,1361547.50150352,2147981.12301783,197045.204307152,3889013.79435433
b_t,2022,1182503.06497291,1781296.91214511,138157.283047429,3351084.21434778
bmsy,1994,653577.332677981,823254.302215773,149345.623158981,1693653.15714262
ck,1994,0.00166882582846052,0.00123676587656962,0.00035013086765318,0.00397066459412432
ck,1995,0.00552992032533715,0.00409822082202244,0.00116021442654047,0.0131574298945266
ck,1996,0.00785867812137608,0.00582406190610568,0.00164880345349326,0.0186982814149952
ck,1997,0.00843981224207945,0.00625474007391618,0.00177072929526456,0.0200809833352089
ck,1998,0.00890978511451268,0.00660303670357407,0.00186933276052271,0.0211991974789167
ck,1999,0.00961052310993708,0.00712235323521966,0.00201635229854234,0.0228664748548644
ck,2000,0.0114819719732191,0.00850928292816873,0.00240899483983975,0.0273192437504675
ck,2001,0.0213260744149643,0.0158047416739369,0.0044743536510553,0.0507414777306478
ck,2002,0.00623347252957852,0.00461962296222886,0.00130782440447183,0.0148314031635504
ck,2003,0.0037246053692538,0.00276030293025277,0.000781447223168606,0.00886201448621171
ck,2004,0.00533996123019198,0.00395744224416671,0.001120359732499,0.0127054571118902
ck,2005,0.0179560593566482,0.0133072254223482,0.0037673018567641,0.042723145772024
ck,2006,0.00371756984721139,0.00275508890885071,0.000779971123389292,0.00884527475352147
ck,2007,0.00548207877544874,0.0040627654764884,0.00115017694804114,0.013043599712233
ck,2008,0.00873811837667779,0.0064758145813637,0.00183331592590746,0.0207907480012749
ck,2009,0.0217285062757904,0.016102983698135,0.00455878655843204,0.0516989904405294
ck,2010,0.0244962806472759,0.018154179717707,0.005139484211614,0.0582844012808688
ck,2011,0.0405794840362336,0.0300734326428257,0.00851384830712483,0.0965514302107516
ck,2012,0.0326645217385182,0.0242076585655035,0.00685323605539706,0.0777192309342345
ck,2013,0.0169105807811455,0.0125324218420014,0.0035479534295581,0.0402356214942547
ck,2014,0.0507486275963384,0.0376097791773693,0.0106474029281447,0.120747039841221
ck,2015,0.0483438861622414,0.0358276266621438,0.0101428720235753,0.115025399207698
ck,2016,0.0388585953446592,0.0287980830078808,0.00815279430110473,0.0924568915947195
ck,2017,0.0364496325973368,0.0270128020798141,0.00764737773666776,0.0867252071215822
