variable,year,mean,sd,lower,upper
b_t,1950,421142687.78607,536229629.491955,91674645.7049865,1087369603.65511
b_t,1951,56475689.323284,82390458.3409256,8875086.91565839,170598059.516423
b_t,1952,36774121.8044961,52042368.2394895,5419713.51953516,103514756.092334
b_t,1953,42379527.3141592,67782953.1289643,6634260.74941819,123386245.148436
b_t,1954,50575003.2772385,95619076.7954303,7180679.19103222,134344958.262917
b_t,1955,67999222.2221501,90922259.1431384,10763610.4188211,216245022.38504
b_t,1956,105242562.50804,151889299.019635,14880023.4497421,295336187.323012
b_t,1957,193318326.778296,246123449.063999,27199411.3896353,550607647.033153
b_t,1958,349459587.235029,542064849.095993,62952232.4992469,1012793042.98093
b_t,1959,583512061.670362,839761037.135368,91713051.9352006,1604636976.04813
b_t,1960,716671013.215755,1006106282.04252,112645211.513124,1987090211.69634
b_t,1961,766190282.432167,1076914989.12119,146192600.741223,2183099430.79979
b_t,1962,821665349.47268,1084352100.34566,163760789.564147,2286293430.53034
b_t,1963,776140850.595368,962776583.324287,108506694.357564,2139750566.21614
b_t,1964,821320077.417351,1020192609.44561,190127215.515726,2245458281.94254
b_t,1965,797713304.94056,1162212159.15484,142150491.968739,2260130847.84311
b_t,1966,824715485.353151,1155006799.66185,147479496.778428,2306912721.83034
b_t,1967,825111421.213153,1075564763.01805,152070381.741308,2223185548.03279
b_t,1968,823727839.005535,1081268477.70841,149667090.727165,2155667189.64145
b_t,1969,836420756.042669,1128428841.6795,149481378.394482,2286633606.66013
b_t,1970,862086507.635561,1116728481.45215,153840996.127647,2378704691.13057
b_t,1971,789643304.52282,950088394.761141,147681057.057209,2223980463.94509
b_t,1972,597313189.611107,927214100.874208,84907674.4351521,1798477773.99122
b_t,1973,387646739.003425,705488029.104912,53477937.3803245,1096783801.79542
b_t,1974,447806032.429338,654567147.299706,63836092.3861797,1283267341.85354
b_t,1975,423031359.782908,649590014.540231,65468010.107704,1209231378.88007
b_t,1976,354871605.86706,543816821.583322,39047845.3110639,1086955049.161
b_t,1977,158268378.636365,210158731.187821,22833085.4873163,468236171.707453
b_t,1978,147831902.727162,220402162.624202,22737302.0027972,464238369.631765
b_t,1979,120980473.452714,168165793.154864,19103632.9693434,364030572.654025
b_t,1980,102368056.189266,169262324.55624,16139042.6868304,287754684.448838
b_t,1981,123071833.805697,213340315.166487,18263738.8439512,376857286.615785
b_t,1982,91846227.9697424,190203192.358138,13355609.2198316,267870903.54217
b_t,1983,32775606.5820839,49813280.0946302,5337152.97302561,97747965.2558075
b_t,1984,28016094.06179,39470139.9704412,4448601.24241984,76644478.1551116
b_t,1985,70759815.6433629,100455339.816491,10898273.0521034,215455134.354315
b_t,1986,176147567.130295,297874174.953406,30784172.2797039,471974690.931805
b_t,1987,186211012.552042,284975748.459565,26051447.2237212,543424623.12601
b_t,1988,246723469.093849,354765897.693885,33286047.7503562,731266232.093436
b_t,1989,324783666.627597,515606491.486865,45586262.9787825,968745184.68006
b_t,1990,274176504.035834,413682073.158125,38694798.7103129,784150202.411907
b_t,1991,300392074.127171,448315996.532086,47243786.1883135,842745340.659548
b_t,1992,384385500.015844,508226967.658849,57654190.1573835,1111521763.16728
b_t,1993,468983918.900429,650019665.620305,63224235.8324936,1427493105.01501
b_t,1994,577707017.56212,780920512.742935,89038720.69616,1653526650.60215
b_t,1995,479969717.360985,651647106.894205,77460016.014759,1494117699.16779
b_t,1996,406100395.347317,612549223.393785,64129046.4024552,1267884053.64952
b_t,1997,349661417.437198,646272446.683417,51124454.3829036,1051123658.56213
b_t,1998,184610687.935392,289486124.297333,29043214.5185136,538547813.332949
b_t,1999,292672046.74422,452924315.211731,41605095.2608364,825214759.451499
b_t,2000,323455998.037577,453697886.397776,46235464.0900037,893021736.256657
b_t,2001,261588969.885673,331311931.171583,43787136.0733787,782238815.974168
b_t,2002,259850658.816045,410598452.567335,47464280.0987289,753161505.364939
b_t,2003,196122955.903708,349384602.008242,27808234.8723636,576126229.744331
b_t,2004,196814938.232521,264476017.726126,32294758.492658,550494167.92793
b_t,2005,184834963.002966,257601477.653962,28579694.0988981,546037025.446049
b_t,2006,154129427.13971,291693442.041733,23746963.5413594,452998369.917282
